,date,open,close,high,low,volume,code
1439,2015-12-17,117.901,119.371,120.391,117.511,24253.0,600519
1440,2015-12-18,119.011,120.391,122.661,118.621,28460.0,600519
1441,2015-12-21,121.511,130.541,132.691,121.511,59391.0,600519
1442,2015-12-22,130.311,128.541,130.311,126.791,28402.0,600519
1443,2015-12-23,128.961,126.511,130.201,126.211,22374.0,600519
1444,2015-12-24,127.491,128.291,129.191,126.711,15577.0,600519
1445,2015-12-25,128.511,128.011,129.171,126.391,11542.0,600519
1446,2015-12-28,128.991,122.631,129.511,122.511,25594.0,600519
1447,2015-12-29,122.131,123.341,123.951,122.021,15774.0,600519
1448,2015-12-30,123.691,122.371,124.171,121.031,20147.0,600519
1449,2015-12-31,121.731,121.701,123.011,121.331,19673.0,600519
1450,2016-01-04,121.511,113.531,121.511,113.501,17349.0,600519
1451,2016-01-05,113.511,116.331,117.481,111.021,31908.0,600519
1452,2016-01-06,116.291,115.691,117.171,112.811,23760.0,600519
1453,2016-01-07,112.501,105.741,112.501,103.541,8148.0,600519
1454,2016-01-08,107.681,108.141,111.511,103.511,44510.0,600519
1455,2016-01-11,106.671,103.371,107.301,102.911,29702.0,600519
1456,2016-01-12,104.611,100.301,105.611,99.511,40287.0,600519
1457,2016-01-13,102.611,103.291,109.511,102.111,29201.0,600519
1458,2016-01-14,100.621,108.331,109.491,99.021,34776.0,600519
1459,2016-01-15,108.261,102.511,109.691,101.511,26681.0,600519
1460,2016-01-18,101.511,102.941,105.911,100.711,27371.0,600519
1461,2016-01-19,104.511,113.751,113.841,103.521,59110.0,600519
1462,2016-01-20,110.511,105.831,113.671,104.521,40968.0,600519
1463,2016-01-21,104.771,103.771,108.101,103.411,21832.0,600519
1464,2016-01-22,106.621,106.251,106.911,102.321,22733.0,600519
1465,2016-01-25,106.511,106.281,107.001,105.011,13750.0,600519
1466,2016-01-26,104.501,102.521,107.981,102.011,22280.0,600519
1467,2016-01-27,103.491,103.441,104.401,99.211,29840.0,600519
1468,2016-01-28,103.261,100.151,103.261,99.131,17903.0,600519
1469,2016-01-29,100.991,104.161,106.011,100.511,23090.0,600519
1470,2016-02-01,105.611,104.801,106.311,103.401,19178.0,600519
1471,2016-02-02,105.511,108.061,108.311,104.151,17842.0,600519
1472,2016-02-03,106.091,107.171,108.071,105.011,15156.0,600519
1473,2016-02-04,108.311,108.501,109.391,107.051,16624.0,600519
1474,2016-02-05,108.501,107.381,108.691,106.041,14227.0,600519
1475,2016-02-15,103.511,103.921,106.511,103.111,19470.0,600519
1476,2016-02-16,104.071,107.431,111.511,104.071,19223.0,600519
1477,2016-02-17,107.251,105.811,108.431,104.021,20349.0,600519
1478,2016-02-18,106.711,105.221,107.111,104.611,18892.0,600519
1479,2016-02-19,105.131,106.621,106.691,104.641,14238.0,600519
1480,2016-02-22,109.511,111.311,111.831,109.511,27759.0,600519
1481,2016-02-23,111.281,115.921,118.491,110.531,37460.0,600519
1482,2016-02-24,115.711,121.251,121.541,114.521,33129.0,600519
1483,2016-02-25,122.311,115.921,123.991,115.641,39480.0,600519
1484,2016-02-26,116.611,120.351,122.761,114.771,28332.0,600519
1485,2016-02-29,122.501,118.421,124.391,110.311,47712.0,600519
1486,2016-03-01,119.471,121.931,123.811,113.911,34004.0,600519
1487,2016-03-02,122.511,127.731,129.011,122.181,47942.0,600519
1488,2016-03-03,128.511,131.321,135.491,125.171,40193.0,600519
1489,2016-03-04,130.391,142.291,143.671,128.521,85838.0,600519
1490,2016-03-07,141.621,137.151,143.511,134.561,39345.0,600519
1491,2016-03-08,136.811,132.721,136.811,130.511,26147.0,600519
1492,2016-03-09,130.511,130.951,136.161,129.611,16402.0,600519
1493,2016-03-10,132.501,131.571,137.211,131.511,25727.0,600519
1494,2016-03-11,130.051,131.561,135.391,129.011,16320.0,600519
1495,2016-03-14,134.271,128.081,137.011,125.711,45277.0,600519
1496,2016-03-15,128.311,135.431,137.901,127.851,36356.0,600519
1497,2016-03-16,133.731,132.121,136.011,128.511,24250.0,600519
1498,2016-03-17,133.511,133.071,137.611,131.811,28820.0,600519
1499,2016-03-18,135.511,129.511,135.771,129.291,70568.0,600519
1500,2016-03-21,130.171,135.491,135.531,130.161,38547.0,600519
1501,2016-03-22,135.771,138.001,141.691,135.011,41766.0,600519
1502,2016-03-23,138.711,138.481,140.511,136.191,21412.0,600519
1503,2016-03-24,138.511,146.171,148.911,134.811,62068.0,600519
1504,2016-03-25,146.011,148.491,153.301,144.531,44756.0,600519
1505,2016-03-28,148.491,153.091,156.891,148.491,48337.0,600519
1506,2016-03-29,153.111,151.621,154.511,147.951,36688.0,600519
1507,2016-03-30,152.511,152.171,153.911,148.991,27782.0,600519
1508,2016-03-31,153.351,151.151,153.811,150.501,19457.0,600519
1509,2016-04-01,152.461,148.601,154.001,148.051,25146.0,600519
1510,2016-04-05,146.511,149.031,151.011,146.511,25047.0,600519
1511,2016-04-06,149.311,160.721,161.111,149.311,48424.0,600519
1512,2016-04-07,160.401,157.621,160.991,156.131,25536.0,600519
1513,2016-04-08,155.511,153.371,159.401,151.711,23156.0,600519
1514,2016-04-11,154.011,147.231,158.691,147.011,119284.0,600519
1515,2016-04-12,147.211,148.431,148.511,145.611,23339.0,600519
1516,2016-04-13,148.911,145.751,152.141,145.211,54274.0,600519
1517,2016-04-14,145.891,146.271,148.341,144.511,28664.0,600519
1518,2016-04-15,146.151,148.411,148.491,144.711,19029.0,600519
1519,2016-04-18,146.311,147.191,149.511,146.011,18593.0,600519
1520,2016-04-19,148.101,146.691,148.701,144.961,14236.0,600519
1521,2016-04-20,146.701,141.951,147.911,139.311,33708.0,600519
1522,2016-04-21,144.011,143.881,145.811,141.811,29672.0,600519
1523,2016-04-22,144.511,150.911,151.391,143.881,35459.0,600519
1524,2016-04-25,150.631,148.031,151.611,146.811,24990.0,600519
1525,2016-04-26,148.461,147.371,150.391,146.511,15156.0,600519
1526,2016-04-27,148.011,148.391,148.991,147.001,13915.0,600519
1527,2016-04-28,149.341,149.951,150.251,147.511,17156.0,600519
1528,2016-04-29,150.901,154.711,155.941,150.901,46079.0,600519
1529,2016-05-03,154.061,163.511,165.791,154.061,56474.0,600519
1530,2016-05-04,163.511,159.721,165.901,159.501,28636.0,600519
1531,2016-05-05,160.011,161.281,161.661,159.011,13517.0,600519
1532,2016-05-06,160.821,155.731,162.031,154.631,27173.0,600519
1533,2016-05-09,153.641,154.331,156.311,152.521,27799.0,600519
1534,2016-05-10,153.011,155.591,157.511,152.621,33505.0,600519
1535,2016-05-11,155.861,160.381,163.991,155.861,49277.0,600519
1536,2016-05-12,157.531,159.471,160.071,155.511,18894.0,600519
1537,2016-05-13,159.491,154.471,162.411,154.011,28145.0,600519
1538,2016-05-16,154.371,155.141,155.311,150.811,22202.0,600519
1539,2016-05-17,154.521,153.541,155.911,153.341,11785.0,600519
1540,2016-05-18,152.591,147.951,155.361,146.611,28380.0,600519
1541,2016-05-19,148.671,149.281,152.011,148.011,20889.0,600519
1542,2016-05-20,150.351,154.771,155.691,147.831,25501.0,600519
1543,2016-05-23,153.231,157.711,158.501,153.231,18706.0,600519
1544,2016-05-24,157.921,155.451,158.721,153.611,11674.0,600519
1545,2016-05-25,157.991,155.371,158.451,154.521,17785.0,600519
1546,2016-05-26,155.501,156.221,157.311,152.711,18120.0,600519
1547,2016-05-27,156.231,155.951,158.201,154.891,13230.0,600519
1548,2016-05-30,155.011,159.641,160.011,153.511,29806.0,600519
1549,2016-05-31,159.511,167.981,170.131,158.711,53949.0,600519
1550,2016-06-01,168.911,167.301,169.011,166.511,21876.0,600519
1551,2016-06-02,166.521,171.251,172.191,166.521,24760.0,600519
1552,2016-06-03,170.511,187.401,190.251,169.911,64798.0,600519
1553,2016-06-06,185.511,179.561,186.511,178.511,37261.0,600519
1554,2016-06-07,180.011,181.361,182.001,178.521,18753.0,600519
1555,2016-06-08,179.911,177.791,181.371,177.011,23882.0,600519
1556,2016-06-13,176.861,170.571,180.171,169.761,37775.0,600519
1557,2016-06-14,171.221,176.261,177.311,171.221,25587.0,600519
1558,2016-06-15,174.221,180.001,181.311,173.721,27322.0,600519
1559,2016-06-16,178.371,177.531,181.311,177.291,19643.0,600519
1560,2016-06-17,177.111,181.771,186.001,177.111,24705.0,600519
1561,2016-06-20,183.281,179.621,183.371,177.511,19019.0,600519
1562,2016-06-21,180.551,177.321,181.451,176.511,16749.0,600519
1563,2016-06-22,177.281,181.951,182.871,176.281,20884.0,600519
1564,2016-06-23,183.481,179.951,183.481,178.391,13984.0,600519
1565,2016-06-24,178.791,177.281,180.511,170.711,20129.0,600519
1566,2016-06-27,178.511,191.191,195.811,178.511,63642.0,600519
1567,2016-06-28,190.531,191.721,193.171,189.831,24282.0,600519
1568,2016-06-29,191.061,191.691,192.961,187.711,28147.0,600519
1569,2016-06-30,193.531,195.431,201.711,193.531,38022.0,600519
1570,2016-07-01,196.882,195.852,201.562,193.682,26014.0,600519
1571,2016-07-04,196.682,203.582,205.082,195.682,29488.0,600519
1572,2016-07-05,204.712,210.262,212.782,204.712,41707.0,600519
1573,2016-07-06,209.482,226.872,227.682,208.692,47347.0,600519
1574,2016-07-07,225.482,226.592,236.482,221.762,50725.0,600519
1575,2016-07-08,223.212,219.592,225.182,215.842,45545.0,600519
1576,2016-07-11,218.712,224.822,233.682,218.712,57481.0,600519
1577,2016-07-12,225.442,234.412,236.282,224.682,53119.0,600519
1578,2016-07-13,232.712,226.872,234.412,224.732,53448.0,600519
1579,2016-07-14,225.772,226.772,230.482,224.882,29230.0,600519
1580,2016-07-15,226.802,227.202,227.712,224.742,26811.0,600519
1581,2016-07-18,227.182,225.892,229.182,225.342,23352.0,600519
1582,2016-07-19,225.182,217.792,225.982,215.232,41431.0,600519
1583,2016-07-20,218.302,218.242,220.552,217.182,17733.0,600519
1584,2016-07-21,219.832,224.062,227.282,218.682,33009.0,600519
1585,2016-07-22,222.582,217.602,224.882,217.062,28871.0,600519
1586,2016-07-25,217.282,220.942,223.872,216.682,23623.0,600519
1587,2016-07-26,218.692,228.722,229.182,218.182,35555.0,600519
1588,2016-07-27,229.532,223.692,230.282,217.982,39228.0,600519
1589,2016-07-28,221.682,225.732,228.982,221.182,39643.0,600519
1590,2016-07-29,224.762,222.832,228.562,222.682,29007.0,600519
1591,2016-08-01,222.682,216.642,223.632,214.682,31701.0,600519
1592,2016-08-02,216.932,215.892,220.182,212.532,26541.0,600519
1593,2016-08-03,216.682,216.502,217.582,213.832,24039.0,600519
1594,2016-08-04,216.532,215.982,218.012,213.902,21793.0,600519
1595,2016-08-05,216.172,215.612,218.052,214.712,20308.0,600519
1596,2016-08-08,215.832,217.782,217.982,212.742,22007.0,600519
1597,2016-08-09,217.852,225.432,227.352,216.102,39289.0,600519
1598,2016-08-10,224.732,223.492,226.182,223.012,20944.0,600519
1599,2016-08-11,224.062,226.452,231.252,223.692,31939.0,600519
